loan_number,cust_number,loan_category,loan_condition,principal_amount,loan_rate,duration_months,installment_amount,commencement_date,initial_credit_score,collateral_value,purpose_of_loan
4630,5188664,Mortgage,Active,736839.93,0.0493,360,3924.05,2021-04-12,730,884207.92,Home Purchase
6463,4112545,Auto,Active,39065.54,0.0782,60,788.75,2023-03-21,632,46878.65,Business Expansion
2911,9265904,Personal,Active,17735.37,0.0816,48,434.31,2021-04-07,845,21282.44,Education
7923,8926005,Auto,Defaulted,24873.62,0.0672,36,764.84,2023-12-03,735,29848.34,Education
7705,4853051,Mortgage,Active,165228.84,0.0378,180,1204.04,2021-11-24,604,198274.61,Debt Consolidation
6772,2803085,Mortgage,Paid,389759.78,0.0366,180,2817.05,2019-11-18,647,467711.74,Debt Consolidation
4236,1902651,Mortgage,Active,141534.93,0.0393,360,670.01,2022-04-09,771,169841.92,Auto Purchase
3179,9217734,Auto,Paid,25494.15,0.0621,36,778.01,2021-12-11,799,30592.98,Auto Purchase
7649,9985695,Personal,Paid,45600.05,0.1338,36,1544.81,2020-03-13,648,54720.06,Home Purchase
6186,1604765,Auto,Active,42142.62,0.0406,60,777.26,2020-09-03,628,50571.14,Education
8554,5675632,Mortgage,Active,445596.17,0.0444,360,2241.91,2020-05-05,638,534715.4,Business Expansion
5097,5491774,Mortgage,Defaulted,433041.9,0.043,360,2143.0,2021-10-15,731,519650.28,Home Purchase
6883,5473286,Mortgage,Active,560783.64,0.0327,180,3945.9,2023-12-22,702,672940.37,Business Expansion
2618,3284883,Mortgage,Paid,978944.84,0.0598,180,8250.32,2024-08-20,667,1174733.81,Home Purchase
1999,4037459,Personal,Paid,7109.58,0.1238,60,159.52,2022-07-14,840,8531.5,Debt Consolidation
3348,4800442,Mortgage,Defaulted,195390.97,0.0562,360,1124.16,2024-10-20,641,234469.16,Education
9182,4727906,Auto,Active,45361.81,0.0531,48,1051.03,2024-03-15,681,54434.17,Home Purchase
7432,5748749,Mortgage,Active,451158.24,0.0491,180,3546.61,2022-08-16,640,541389.89,Business Expansion
5485,7544569,Personal,Defaulted,2198.51,0.095,48,55.23,2021-11-10,839,2638.21,Home Purchase
7497,5587809,Personal,Defaulted,39227.46,0.1242,60,880.94,2022-03-13,661,47072.95,Business Expansion
3590,6453318,Personal,Active,30405.64,0.1333,24,1450.26,2021-04-28,750,36486.77,Home Purchase
6713,7538472,Personal,Defaulted,3922.32,0.1255,60,88.34,2021-08-21,767,4706.78,Education
5252,4345703,Personal,Paid,11320.63,0.0883,60,234.06,2024-07-14,807,13584.76,Business Expansion
5749,4183858,Mortgage,Defaulted,167400.53,0.0574,360,975.84,2022-06-15,747,200880.64,Home Purchase
9554,1741326,Mortgage,Defaulted,857513.85,0.0452,360,4355.09,2020-12-07,604,1029016.62,Home Purchase
2477,2079949,Auto,Active,44930.23,0.0734,36,1394.31,2023-03-05,819,53916.28,Home Purchase
7886,8853954,Auto,Active,73957.69,0.06,48,1736.9,2020-05-21,725,88749.23,Business Expansion
6162,4171701,Mortgage,Active,426711.68,0.0361,360,1942.42,2023-08-16,621,512054.02,Education
2322,3012719,Mortgage,Defaulted,163707.02,0.0541,360,920.29,2023-09-19,738,196448.42,Home Purchase
9368,7720426,Personal,Active,28115.57,0.1171,24,1319.69,2023-12-27,800,33738.68,Debt Consolidation
8127,8639889,Personal,Active,3050.92,0.1047,36,99.12,2023-05-19,830,3661.1,Business Expansion
5392,8970009,Mortgage,Defaulted,598184.73,0.0467,360,3091.64,2021-05-15,809,717821.68,Debt Consolidation
3041,4323363,Mortgage,Active,814133.71,0.0387,180,5969.15,2022-06-23,611,976960.45,Auto Purchase
5217,7011377,Mortgage,Defaulted,458316.91,0.0325,360,1994.62,2022-06-20,678,549980.29,Home Purchase
9749,4545145,Auto,Paid,74614.82,0.0783,36,2332.31,2022-03-05,626,89537.78,Education
4808,5190042,Mortgage,Paid,852674.73,0.04,360,4070.8,2022-04-25,749,1023209.68,Education
3239,2273097,Auto,Defaulted,29280.91,0.0564,48,682.84,2022-12-21,817,35137.09,Auto Purchase
9400,2658169,Personal,Defaulted,26461.7,0.1,48,671.14,2019-12-04,603,31754.04,Business Expansion
2276,1399507,Mortgage,Defaulted,626259.75,0.0409,360,3022.45,2020-01-25,797,751511.7,Debt Consolidation
2209,1718473,Auto,Defaulted,58537.21,0.0542,36,1765.47,2022-01-10,766,70244.65,Business Expansion
8593,4742437,Auto,Active,28077.64,0.065,48,665.86,2020-07-08,677,33693.17,Education
1231,9928028,Auto,Active,41161.27,0.0404,72,644.73,2022-02-13,620,49393.52,Education
4276,2161346,Mortgage,Paid,622042.68,0.044,180,4726.86,2022-01-31,728,746451.22,Auto Purchase
7499,4086621,Personal,Paid,11602.32,0.0808,36,364.0,2022-11-18,758,13922.78,Home Purchase
7408,9102462,Mortgage,Active,640636.13,0.0327,180,4507.78,2024-01-04,669,768763.36,Home Purchase
2912,1327250,Auto,Paid,35515.58,0.0601,60,686.78,2021-10-12,772,42618.7,Education
1624,9901791,Personal,Defaulted,48493.89,0.1049,48,1241.37,2019-12-09,749,58192.67,Home Purchase
6956,9264470,Auto,Paid,55747.29,0.0732,36,1729.48,2020-09-19,636,66896.75,Home Purchase
1688,3690529,Personal,Active,48747.84,0.1318,48,1312.14,2020-01-07,659,58497.41,Business Expansion
3455,4635925,Mortgage,Paid,436525.7,0.0362,180,3146.43,2024-02-24,845,523830.84,Auto Purchase
3317,9773325,Mortgage,Paid,162527.33,0.0398,360,774.06,2024-06-09,793,195032.8,Education
