transaction_id,account_id,transaction_type,transaction_date,amount,currency_code,status,created_timestamp
84090471,728467,Deposit,2024-01-26 09:37:52,2465.4,USD,Completed,2024-06-28 21:49:12
31851455,119656,Withdrawal,2024-05-28 13:17:24,249.54,USD,Pending,2024-01-21 00:58:19
62978575,338447,Withdrawal,2024-10-04 01:26:43,421.96,USD,Pending,2024-07-15 01:18:49
62332672,551381,Transfer,2024-05-25 13:28:53,708.08,USD,Pending,2024-02-11 23:16:10
23663991,461905,Transfer,2024-09-01 13:48:40,460.83,USD,Failed,2024-01-15 15:42:17
93598218,745148,Withdrawal,2023-12-09 16:32:09,694.09,USD,Completed,2024-02-18 08:23:14
93679274,430758,Withdrawal,2024-09-28 12:53:40,671.88,USD,Failed,2024-08-07 13:37:29
76176626,372845,Withdrawal,2023-12-03 01:14:34,109.11,USD,Pending,2024-09-01 12:05:40
58229545,886524,Deposit,2024-03-01 22:20:44,3955.78,USD,Pending,2023-12-06 02:01:12
55402157,480160,Withdrawal,2023-12-26 18:35:48,496.25,USD,Completed,2024-01-09 07:03:35
44131620,983868,Withdrawal,2024-03-28 22:40:26,463.31,USD,Failed,2023-12-12 17:21:03
39178435,649138,Transfer,2024-10-04 18:20:53,193.58,USD,Completed,2024-02-25 15:43:03
31237181,818042,Deposit,2024-05-26 09:55:52,1646.09,USD,Completed,2024-01-02 14:37:04
24908078,402824,Withdrawal,2023-12-19 04:16:17,955.69,USD,Completed,2024-02-25 20:33:49
47556312,290764,Withdrawal,2024-04-17 04:08:46,137.9,USD,Completed,2024-08-14 20:04:29
34253102,829281,Transfer,2024-09-20 11:58:51,1137.86,USD,Completed,2023-11-30 19:44:45
17535167,650969,Transfer,2024-01-13 03:56:55,1230.64,USD,Pending,2024-11-04 01:53:17
39632909,340379,Withdrawal,2024-06-04 13:17:52,748.15,USD,Completed,2024-04-05 13:04:31
39395199,281795,Deposit,2024-02-19 04:36:33,272.46,USD,Failed,2024-10-02 20:26:02
26908298,484554,Deposit,2024-10-21 14:00:03,4793.36,USD,Failed,2024-07-23 15:52:19
99400857,139762,Deposit,2024-08-14 17:25:18,4323.54,USD,Failed,2024-06-03 13:29:39
77715103,544493,Withdrawal,2023-12-23 13:16:11,543.69,USD,Failed,2024-09-11 00:09:30
65065627,936151,Transfer,2024-02-11 05:07:18,1060.33,USD,Completed,2024-04-07 05:40:00
17506829,650486,Deposit,2024-06-21 02:23:58,3874.56,USD,Failed,2024-09-26 01:54:01
25033690,391441,Withdrawal,2024-01-28 06:11:25,958.57,USD,Pending,2024-06-05 12:21:43
95992798,666013,Deposit,2024-01-06 11:53:00,2093.63,USD,Failed,2024-05-04 18:45:40
85508709,867728,Deposit,2024-08-29 18:37:30,4916.61,USD,Completed,2024-03-30 01:19:43
18341867,370938,Deposit,2024-10-04 14:20:07,986.46,USD,Pending,2024-02-26 03:33:49
81364819,729754,Deposit,2024-10-18 10:17:14,3748.76,USD,Pending,2024-02-29 18:41:07
46135421,725108,Deposit,2024-05-15 02:41:16,3353.58,USD,Completed,2024-08-13 22:06:43
94691678,523749,Deposit,2024-06-30 08:59:57,2013.84,USD,Pending,2024-10-12 18:52:52
33399639,699537,Withdrawal,2024-09-09 22:35:11,903.34,USD,Completed,2024-01-01 03:26:18
18963437,674362,Deposit,2024-01-27 05:08:21,4653.57,USD,Failed,2023-12-26 00:42:47
60342325,604027,Deposit,2024-06-08 16:30:43,519.46,USD,Pending,2024-01-05 16:55:02
64114710,224502,Transfer,2024-03-16 12:15:15,184.62,USD,Completed,2024-02-13 19:42:34
24799403,640303,Deposit,2024-06-26 01:00:20,4282.41,USD,Failed,2024-03-03 17:40:39
68316174,638353,Transfer,2023-12-18 14:42:23,1578.28,USD,Failed,2024-08-09 23:56:10
36049544,643950,Deposit,2024-03-22 02:33:59,2187.76,USD,Failed,2024-08-17 03:16:07
47524250,232381,Transfer,2023-12-20 14:26:04,1096.24,USD,Failed,2023-12-30 07:33:17
78239298,465574,Deposit,2024-02-13 01:09:46,1385.76,USD,Pending,2024-07-26 11:26:24
46167212,889183,Transfer,2024-04-12 16:47:45,1945.57,USD,Completed,2024-03-14 02:30:29
57379384,646287,Withdrawal,2024-06-14 04:18:41,283.98,USD,Pending,2024-05-22 13:10:14
61459342,750001,Transfer,2024-04-15 20:59:31,1626.1,USD,Failed,2024-07-19 09:44:09
76844363,817427,Withdrawal,2024-11-11 08:03:35,555.7,USD,Pending,2024-08-17 18:43:26
51641958,818149,Transfer,2024-03-03 20:23:02,476.15,USD,Completed,2024-05-07 07:19:27
82951736,851904,Withdrawal,2024-02-16 07:14:23,205.36,USD,Pending,2024-10-29 17:33:47
30929156,349781,Transfer,2024-10-27 05:34:24,1783.54,USD,Failed,2024-10-10 21:45:46
94673583,594713,Withdrawal,2024-03-06 04:50:58,685.86,USD,Failed,2024-04-09 12:13:13
98061737,800496,Withdrawal,2023-12-04 18:10:05,409.9,USD,Failed,2023-12-09 23:35:43
79679592,511324,Transfer,2024-04-14 05:35:42,1370.99,USD,Completed,2023-12-01 22:25:10
98868919,525508,Transfer,2024-01-27 21:41:16,1227.6,USD,Pending,2024-01-19 07:01:14
